Sr. No.,Police Station,Year,Head,Date,Place_of_offence,Key_location,Week_no.,Geo_Location,Crowd_Density,Crime_Location_Type
33,Anjuna_Ps,2019,Drug Related (NDPS),26-11-2019,Near St Anthony Hospital Chiwar Anjuna,Anjuna,4,"(15.5849, 73.7439)",High,Other
34,Anjuna_Ps,2019,Drug Related (NDPS),30-12-2019,Near Lake Talyacho Band Anjuna,Anjuna,5,"(15.5849, 73.7439)",Medium,Other
35,Anjuna_Ps,2020,Theft (Auto Theft),24-02-2020,Grand Chiwar Anjuna,Anjuna,4,"(15.5849, 73.7439)",Medium,House
36,Anjuna_Ps,2020,Theft (Auto Theft),26-06-2020,Va Vegas Super Market Arpora,Arpora,4,"(15.5728, 73.7677)",High,Other
37,Anjuna_Ps,2020,Theft (Auto Theft),01-07-2020,Near Corporation Bank Siolim,Siolim,1,"(15.6201, 73.7772)",High,Other
38,Anjuna_Ps,2020,Theft (Auto Theft),02-11-2020,Huddo Waddo Chapora,Chapora,1,"(15.6032, 73.7421)",Medium,House
39,Anjuna_Ps,2020,Theft (House Theft),02-01-2020,"Room No.3, Barsa Guest House Assagao",Assagao,1,"(15.6000, 73.7500)",Low,House
40,Anjuna_Ps,2020,Theft (House Theft),18-01-2020,Curlies Rest Dando Anjuna,Anjuna,3,"(15.5849, 73.7439)",High,Other
41,Anjuna_Ps,2020,Theft (House Theft),20-04-2020,Hotel Regent Laguna Anjuna,Anjuna,3,"(15.5850, 73.7435)",High,Other (Hotel)
42,Anjuna_Ps,2020,Theft (House Theft),30-11-2020,Charvi Romio Anjuna,Anjuna,5,"(15.5849, 73.7439)",Medium,Other (Hotel)
43,Anjuna_Ps,2020,Theft (HBT Night),12-03-2020,BSNL Exchange Sauta Vaddo Assagao,Assagao,2,"(15.6002, 73.7501)",Low,Other (Office)
44,Anjuna_Ps,2020,Theft (HBT Night),23-03-2020,Co-Operative Society Chapora,Chapora,4,"(15.6032, 73.7421)",Medium,Other (Office)
45,Anjuna_Ps,2020,Theft (HBT Night),14-04-2020,Flat No.95/2 Vadi Siolim,Siolim,2,"(15.6201, 73.7772)",Low,House
46,Anjuna_Ps,2020,Assault (Hurt),21-01-2020,Guddem Siolim,Siolim,3,"(15.6201, 73.7772)",Low,House
47,Anjuna_Ps,2020,Assault (Hurt),28-01-2020,Jungle Hostel Vagator,Vagator,4,"(15.5916, 73.7441)",Medium,Other (Hostel)
48,Anjuna_Ps,2020,Assault (Hurt),18-03-2020,Tito Anjuna,Anjuna,3,"(15.5851, 73.7433)",High,Other (Club)
49,Anjuna_Ps,2020,Assault (Hurt),18-03-2020,Anjuna Tito,Anjuna,3,"(15.5851, 73.7433)",High,Other (Club)
50,Anjuna_Ps,2020,Assault (Hurt),26-04-2020,Madhlo Vaddo Assagao,Assagao,5,"(15.6003, 73.7502)",Low,House
51,Anjuna_Ps,2020,Assault (Hurt),10-06-2020,Continental Hotel Arpora,Arpora,2,"(15.5728, 73.7677)",Medium,Other (Hotel)
52,Anjuna_Ps,2020,Assault (Hurt),02-08-2020,Near la Vida Suits Arpora,Arpora,2,"(15.5728, 73.7677)",Medium,Other (Hotel)
53,Anjuna_Ps,2020,Assault (Hurt),12-09-2020,Esco Bar & Rest Munag Vaddo Assagao,Assagao,2,"(15.6005, 73.7503)",Medium,Other (Restaurant)
54,Anjuna_Ps,2020,Assault (Hurt),09-10-2020,Waddi Siolim,Siolim,2,"(15.6201, 73.7772)",Low,House
55,Anjuna_Ps,2020,Assault (Hurt),21-10-2020,Ozran Height Vagator,Vagator,4,"(15.5916, 73.7441)",Medium,Other (Resort)
56,Anjuna_Ps,2020,Assault (Hurt),02-11-2020,Zorwaddo Muddi Anjuna,Anjuna,2,"(15.5849, 73.7439)",Medium,House
57,Anjuna_Ps,2020,Assault (Hurt),14-11-2020,Sim Vaddo Arpora,Arpora,3,"(15.5728, 73.7677)",Medium,House
58,Anjuna_Ps,2020,Assault (Hurt),24-11-2020,Sankwadi Arpora,Arpora,5,"(15.5728, 73.7677)",Medium,House
59,Anjuna_Ps,2020,Assault (Hurt),09-12-2020,Near German Bakery Anjuna,Anjuna,2,"(15.5852, 73.7438)",Medium,Other (Café)
60,Anjuna_Ps,2020,Assault (Hurt),14-12-2020,Baga Bridge Arpora,Arpora,3,"(15.5560, 73.7522)",High,Other (Bridge/Road)
61,Anjuna_Ps,2020,Assault (Hurt),23-12-2020,Anjuna Tito,Anjuna,4,"(15.5851, 73.7433)",High,Other (Club)
62,Anjuna_Ps,2020,Drug Related (NDPS),06-01-2020,Ozran Vagator,Vagator,2,"(15.5918, 73.7442)",Medium,Other (Beach area)
63,Anjuna_Ps,2020,Drug Related (NDPS),07-01-2020,Y Junction Gumal Waddo Anjuna,Anjuna,2,"(15.5853, 73.7436)",Medium,Other (Junction)
64,Anjuna_Ps,2020,Drug Related (NDPS),17-01-2020,Four Road Junction Assagao,Assagao,3,"(15.6004, 73.7505)",Medium,Other (Junction)
65,Anjuna_Ps,2020,Drug Related (NDPS),28-01-2020,Four Road Junction Assagao,Assagao,5,"(15.6004, 73.7505)",Medium,Other (Junction)
66,Anjuna_Ps,2020,Drug Related (NDPS),11-02-2020,Near Happy Bar Rest Assagao,Assagao,3,"(15.6007, 73.7506)",Medium,Other (Restaurant)
67,Anjuna_Ps,2020,Drug Related (NDPS),13-03-2020,Exotic Regency Siolim,Siolim,3,"(15.6202, 73.7773)",Medium,Other (Hotel)
68,Anjuna_Ps,2020,Drug Related (NDPS),15-03-2020,Tembi Ground Anjuna,Anjuna,4,"(15.5847, 73.7432)",Medium,Other (Ground)
69,Anjuna_Ps,2020,Drug Related (NDPS),29-08-2020,T Junction Monterio Vaddo Anjuna,Anjuna,5,"(15.5855, 73.7437)",Medium,Other (Junction)
70,Anjuna_Ps,2020,Drug Related (NDPS),05-09-2020,Munag Vaddo Assagao,Assagao,1,"(15.6009, 73.7507)",Low,House
71,Anjuna_Ps,2020,Drug Related (NDPS),19-09-2020,Ingrezvaddo Marna Siolim,Siolim,3,"(15.6205, 73.7774)",Low,House
72,Anjuna_Ps,2020,Drug Related (NDPS),03-10-2020,Chiwar Anjuna,Anjuna,1,"(15.5858, 73.7440)",Medium,Other (Residential area)
73,Anjuna_Ps,2020,Drug Related (NDPS),27-10-2020,Ozran Vagator,Vagator,5,"(15.5918, 73.7442)",Medium,Other (Beach area)
74,Anjuna_Ps,2021,Theft (Auto Theft),09-01-2021,Near Babet Tailor Shop Assagao,Assagao,2,"(15.6010, 73.7508)",Low,Other (Shop)
75,Anjuna_Ps,2021,Theft (Auto Theft),30-04-2021,Huddo Vaddo Chapora,Arpora,5,"(15.5730, 73.7680)",Medium,House
76,Anjuna_Ps,2021,Theft (Auto Theft),15-05-2021,Bouta Vaddo Assagao,Assagao,3,"(15.6013, 73.7509)",Low,House
77,Anjuna_Ps,2021,Theft (Auto Theft),11-06-2021,Dabholwado Chapora,Arpora,2,"(15.5735, 73.7682)",Medium,House
78,Anjuna_Ps,2021,Theft (Auto Theft),01-09-2021,Near DMC College Vale Waddo Assagao,Assagao,1,"(15.6015, 73.7510)",Medium,Other (College area)
79,Anjuna_Ps,2021,Theft (Auto Theft),05-10-2021,Infront of Hno.1397 Doxxier Anjuna,Anjuna,2,"(15.5861, 73.7441)",Low,House
80,Anjuna_Ps,2021,Theft (Auto Theft),26-10-2021,Infront of Hno.1110 Mazal Vaddo Anjuna,Anjuna,5,"(15.5863, 73.7443)",Low,House
81,Anjuna_Ps,2021,Theft (Auto Theft),16-11-2021,Near Dinesh Café Starco Anjuna,Anjuna,3,"(15.5865, 73.7444)",Medium,Other (Café)
82,Anjuna_Ps,2021,Theft (Auto Theft),30-12-2021,Near Bablo Garage Arpora,Arpora,5,"(15.5738, 73.7684)",Medium,Other (Garage)
83,Anjuna_Ps,2021,Theft (House Theft),26-01-2021,Zor Waddo Chapora,Arpora,5,"(15.5740, 73.7685)",Medium,House
84,Anjuna_Ps,2021,Theft (House Theft),01-02-2021,Castel Villa Anjuna,Anjuna,1,"(15.5868, 73.7445)",Medium,Other (Villa)
85,Anjuna_Ps,2021,Theft (House Theft),03-02-2021,Villa No.4 Villa Casa Anjuna,Anjuna,1,"(15.5870, 73.7446)",Medium,Other (Villa)
86,Anjuna_Ps,2021,Theft (House Theft),08-02-2021,Casa Apt Madhlem Bhat Siolim,Siolim,2,"(15.6208, 73.7775)",Low,House
87,Anjuna_Ps,2021,Theft (House Theft),14-07-2021,Room D-5 Hotel Capital Casa Royal Vagator,Vagator,3,"(15.5920, 73.7447)",Medium,Other (Hotel)
88,Anjuna_Ps,2021,Theft (House Theft),22-07-2021,Rented Villa Mandovi Arpora,Arpora,4,"(15.5742, 73.7686)",Medium,Other (Villa)
89,Anjuna_Ps,2021,Theft (House Theft),01-08-2021,O Punjab Rest Arpora,Arpora,2,"(15.5745, 73.7687)",Medium,Other (Restaurant)
90,Anjuna_Ps,2021,Theft (House Theft),18-09-2021,Mazal Vaddo Anjuna,Anjuna,3,"(15.5869, 73.7448)",Medium,House
91,Anjuna_Ps,2021,Theft (House Theft),21-09-2021,251/9 Hudo Waddo Chapora,Chapora,4,"(15.5732, 73.7689)",Medium,House
92,Anjuna_Ps,2021,Theft (House Theft),11-11-2021,Talva Party Hostel Anjuna,Anjuna,2,"(15.5872, 73.7449)",High,Other (Hostel)
93,Anjuna_Ps,2021,Theft (House Theft),28-11-2021,Bunglow 1 Govia Hillside Wadi Siolim,Siolim,5,"(15.6210, 73.7776)",Low,House
94,Anjuna_Ps,2021,Theft (House Theft),26-12-2021,Hno.772/1 St Michael Waddo Anjuna,Anjuna,5,"(15.5875, 73.7450)",Low,House
95,Anjuna_Ps,2021,Theft (House Theft),31-12-2021,Siolim,Siolim,5,"(15.6213, 73.7777)",Medium,Other (General location)
96,Anjuna_Ps,2021,Theft (Chain Snatching),14-09-2021,Near Piza Hut Arpora,Arpora,3,"(15.5748, 73.7688)",High,Other (Restaurant)
97,Anjuna_Ps,2021,Theft (Chain Snatching),21-09-2021,Near Snatas Family Saloon Deaulwaddo Vagator,Vagator,4,"(15.5925, 73.7449)",Medium,Other (Saloon)
98,Anjuna_Ps,2021,Theft (Chain Snatching),16-12-2021,Hno.984/A Tarchibhat Siolim,Siolim,3,"(15.6215, 73.7778)",Low,House
99,Anjuna_Ps,2021,Theft (HBT Night),05-06-2021,Rented House Monterio Vaddo Anjuna,Anjuna,1,"(15.5878, 73.7451)",Medium,House
100,Anjuna_Ps,2021,Theft (HBT Night),18-08-2021,Hno.422 Sim Vaddo Arpora,Arpora,4,"(15.5750, 73.7689)",Low,House
101,Anjuna_Ps,2021,Assault (Hurt),01-01-2021,Badem Chapora,Chapora,1,"(15.5734, 73.7690)",Medium,House
102,Anjuna_Ps,2021,Assault (Hurt),27-01-2021,Infront of Vishwas Bar Tar Siolim,Siolim,5,"(15.6218, 73.7779)",High,Other (Bar)
103,Anjuna_Ps,2021,Assault (Hurt),27-01-2021,Infront of Vishwas Bar Tar Siolim,Siolim,5,"(15.6218, 73.7779)",High,Other (Bar)
104,Anjuna_Ps,2021,Assault (Hurt),02-02-2021,Gubla Waddo Oxel Siolim,Siolim,1,"(15.6220, 73.7780)",Low,House
105,Anjuna_Ps,2021,Assault (Hurt),25-02-2021,Near Ganesh Temple Tar Siolim,Siolim,4,"(15.6222, 73.7781)",Medium,Other (Temple)
106,Anjuna_Ps,2021,Assault (Hurt),03-03-2021,Café Struck Vagator,Vagator,1,"(15.5930, 73.7450)",High,Other (Café)
107,Anjuna_Ps,2021,Assault (Hurt),03-03-2021,Fish Ovan Shack Anjuna Beach,Anjuna,1,"(15.5880, 73.7452)",High,Other (Beach Shack)
108,Anjuna_Ps,2021,Assault (Hurt),06-03-2021,Bollywood Night Rest Arpora,Arpora,1,"(15.5752, 73.7691)",High,Other (Restaurant)
109,Anjuna_Ps,2021,Assault (Hurt),12-03-2021,St Michael Vaddo Anjuna,Anjuna,2,"(15.5882, 73.7453)",Medium,House
110,Anjuna_Ps,2021,Assault (Hurt),17-03-2021,HNo.81 Mainath Bhati Arpora,Arpora,3,"(15.5754, 73.7692)",Low,House
111,Anjuna_Ps,2021,Assault (Hurt),17-03-2021,Property bearing No.42/2 Arpora,Arpora,3,"(15.5756, 73.7693)",Low,House
112,Anjuna_Ps,2021,Assault (Hurt),05-04-2021,Porta Vaddo Siolim,Siolim,2,"(15.6225, 73.7782)",Low,House
113,Anjuna_Ps,2021,Assault (Hurt),14-04-2021,Papi Chulo Hostel Vagator,Vagator,3,"(15.5935, 73.7451)",High,Other (Hostel)
114,Anjuna_Ps,2021,Assault (Hurt),28-04-2021,Anjuna Beach,Anjuna,5,"(15.5885, 73.7454)",High,Other (Beach)
115,Anjuna_Ps,2021,Assault (Hurt),13-06-2021,Anjuna,Anjuna,3,"(15.5888, 73.7445)",Medium,Other (General Location)
116,Anjuna_Ps,2021,Assault (Hurt),29-07-2021,Hotel Dinesh Starco Anjuna,Anjuna,5,"(15.5890, 73.7446)",High,Other (Hotel)
117,Anjuna_Ps,2021,Assault (Hurt),23-08-2021,Near Theater Junction Siolim,Siolim,5,"(15.6216, 73.7774)",Medium,Other (Junction)
118,Anjuna_Ps,2021,Assault (Hurt),23-08-2021,Bus Stop Theater Junction Siolim,Siolim,5,"(15.6217, 73.7775)",High,Other (Bus Stop)
119,Anjuna_Ps,2021,Assault (Hurt),30-08-2021,Brahman Devastan Guddem Siolim,Siolim,6,"(15.6220, 73.7776)",Low,Other (Temple)
120,Anjuna_Ps,2021,Assault (Hurt),09-09-2021,Court Yard Fulddem Vaddo Nagoa,Nagoa,2,"(15.5820, 73.7600)",Low,House
121,Anjuna_Ps,2021,Assault (Hurt),15-09-2021,Edga Fernandes Siolim,Siolim,3,"(15.6222, 73.7777)",Low,House
122,Anjuna_Ps,2021,Assault (Hurt),21-09-2021,HNo.251/9 Huddo Vaddo Chapora,Chapora,4,"(15.5732, 73.7685)",Low,House
123,Anjuna_Ps,2021,Assault (Hurt),21-09-2021,HNo.251/9 Huddo Vaddo Chapora,Chapora,4,"(15.5732, 73.7685)",Low,House
124,Anjuna_Ps,2021,Assault (Hurt),29-09-2021,Near Yeshwant Store Chapora,Chapora,5,"(15.5735, 73.7686)",Medium,Other (Shop)
125,Anjuna_Ps,2021,Assault (Hurt),02-10-2021,HNo.7/4 Fulddem Vaddo Nagoa,Nagoa,1,"(15.5825, 73.7601)",Low,House
126,Anjuna_Ps,2021,Assault (Hurt),09-10-2021,Court Yard HNo.1050 Grand Peddem Anjuna,Anjuna,2,"(15.5895, 73.7447)",Low,House
127,Anjuna_Ps,2021,Assault (Hurt),16-10-2021,Near Anjuna Beach,Anjuna,3,"(15.5900, 73.7448)",High,Other (Beach)
128,Anjuna_Ps,2021,Assault (Hurt),18-11-2021,Rai Siolim,Siolim,3,"(15.6228, 73.7778)",Medium,House
129,Anjuna_Ps,2021,Drug Related (NDPS),04-02-2021,Fountant Gumal Vaddo Anjuna,Anjuna,1,"(15.5905, 73.7449)",Medium,House
130,Anjuna_Ps,2021,Drug Related (NDPS),05-02-2021,Coutinho Vaddo Vagator,Vagator,1,"(15.5938, 73.7450)",Medium,House
131,Anjuna_Ps,2021,Drug Related (NDPS),07-02-2021,Assagao,Assagao,2,"(15.5890, 73.7650)",Medium,Other (General Location)
132,Anjuna_Ps,2021,Drug Related (NDPS),12-03-2021,Near Sea Garden Prais Vaddo Anjuna,Anjuna,2,"(15.5910, 73.7451)",High,Other (Garden)
133,Anjuna_Ps,2021,Drug Related (NDPS),22-06-2021,Grand Peddem Anjuna,Anjuna,4,"(15.5915, 73.7452)",Medium,House
134,Anjuna_Ps,2021,Drug Related (NDPS),24-07-2021,HNo.160 Zor Vaddo Anjuna,Anjuna,4,"(15.5920, 73.7453)",Low,House
135,Anjuna_Ps,2021,Drug Related (NDPS),02-08-2021,Igrez Vaddo Marna Siolim,Siolim,2,"(15.6232, 73.7779)",Medium,House
136,Anjuna_Ps,2021,Drug Related (NDPS),05-08-2021,Gaonwadi Anjuna,Anjuna,2,"(15.5930, 73.7444)",Medium,Other (General Location)
137,Anjuna_Ps,2021,Drug Related (NDPS),05-08-2021,Happy Bar Assagao,Assagao,2,"(15.5892, 73.7651)",High,Other (Bar)
138,Anjuna_Ps,2021,Drug Related (NDPS),29-10-2021,Baga Arpora,Arpora,5,"(15.5569, 73.7523)",High,Other (Beach Area)
139,Anjuna_Ps,2021,Drug Related (NDPS),05-12-2021,Near Happy Bar Assagao,Assagao,2,"(15.5893, 73.7652)",High,Other (Near Bar)
140,Anjuna_Ps,2021,Drug Related (NDPS),18-12-2021,Near Navelkar Avenue Building Bhati Oxel Siolim,Siolim,3,"(15.6245, 73.7780)",Medium,House
141,Anjuna_Ps,2022,Theft (Auto Theft),13-01-2022,Near Curlies Rest Dando Anjuna,Anjuna,3,"(15.5902, 73.7445)",High,Other (Restaurant)
142,Anjuna_Ps,2022,Theft (Auto Theft),22-02-2022,Wadi Siolim,Siolim,4,"(15.6250, 73.7781)",Medium,House
143,Anjuna_Ps,2022,Theft (Auto Theft),30-03-2022,HNo.4 Vaddy Siolim,Siolim,5,"(15.6255, 73.7782)",Low,House
144,Anjuna_Ps,2022,Theft (Auto Theft),30-03-2022,Infront of Desmond Money Exchange Shop Anjuna,Anjuna,5,"(15.5907, 73.7446)",Medium,Other (Shop)
145,Anjuna_Ps,2022,Theft (Auto Theft),23-06-2022,Near Curlies Rest Dando Anjuna,Anjuna,4,"(15.5902, 73.7445)",High,Other (Restaurant)
146,Anjuna_Ps,2022,Theft (Auto Theft),24-06-2022,Near Starco Junction Anjuna,Anjuna,4,"(15.5909, 73.7447)",High,Other (Junction)
147,Anjuna_Ps,2022,Theft (Auto Theft),14-07-2022,Zorwado Anjuna,Anjuna,3,"(15.5913, 73.7448)",Medium,House
148,Anjuna_Ps,2022,Theft (Auto Theft),29-07-2022,Tambudki Arpora,Arpora,5,"(15.5556, 73.7519)",Medium,Other (General Location)
149,Anjuna_Ps,2022,Theft (Auto Theft),15-09-2022,Near F-13 Avolona Arpora,Arpora,3,"(15.5561, 73.7520)",Low,House
150,Anjuna_Ps,2022,Theft (Auto Theft),29-09-2022,Mango Tree Rest Vagator,Vagator,5,"(15.5935, 73.7451)",High,Other (Restaurant)
151,Anjuna_Ps,2022,Theft (House Theft),21-04-2022,Emporoe Resort Spa Vagator,Vagator,3,"(15.5940, 73.7452)",High,Other (Resort)
152,Anjuna_Ps,2022,Theft (House Theft),21-06-2022,Navel Avenue Siolim,Siolim,3,"(15.6260, 73.7783)",Medium,House
153,Anjuna_Ps,2022,Theft (House Theft),21-08-2022,247 Sokal Waddo Assagao,Assagao,3,"(15.5900, 73.7653)",Low,House
154,Anjuna_Ps,2022,Theft (House Theft),20-11-2022,Baga Arpora,Arpora,3,"(15.5569, 73.7523)",High,Other (Beach Area)
155,Anjuna_Ps,2022,Theft (Chain Snatching),28-06-2022,Tambudki Waddo Arpora,Arpora,4,"(15.5558, 73.7521)",Medium,House
156,Anjuna_Ps,2022,Theft (HBT Night),16-05-2022,95/A Vaddi Siolim,Siolim,3,"(15.6265, 73.7784)",Low,House
157,Anjuna_Ps,2022,Theft (HBT Night),22-07-2022,86/2 Marna Siolim,Siolim,4,"(15.6270, 73.7785)",Low,House
158,Anjuna_Ps,2022,Theft (HBT Night),18-09-2022,Villa Amada Boutawado Assagao,Assagao,3,"(15.5905, 73.7654)",Medium,House
159,Anjuna_Ps,2022,Theft (HBT Night),02-11-2022,Hotel Mamta Court Yard Anjuna,Anjuna,1,"(15.5917, 73.7449)",High,Other (Hotel)
160,Anjuna_Ps,2022,Theft (HBT Night),27-11-2022,Bammon Vaddo Siolim,Siolim,4,"(15.6268, 73.7786)",Medium,House
161,Anjuna_Ps,2022,Assault (Hurt),01-01-2022,Romeo Lane Vagator,Vagator,1,"(15.5938, 73.7453)",Medium,Other (Lane)
162,Anjuna_Ps,2022,Assault (Hurt),01-01-2022,Abalone Resort Arpora,Arpora,1,"(15.5552, 73.7518)",High,Other (Resort)
163,Anjuna_Ps,2022,Assault (Hurt),06-01-2022,HNo.484/18 Deulwada Chapora,Chapora,5,"(15.5908, 73.7649)",Low,House
164,Anjuna_Ps,2022,Assault (Hurt),31-01-2022,1089 Madlembhat Siolim,Siolim,2,"(15.6272, 73.7787)",Low,House
165,Anjuna_Ps,2022,Assault (Hurt),09-02-2022,Simwado Anjuna,Anjuna,2,"(15.5910, 73.7450)",Medium,House
166,Anjuna_Ps,2022,Assault (Hurt),09-02-2022,Simwado Anjuna,Anjuna,3,"(15.5910, 73.7450)",Medium,House
167,Anjuna_Ps,2022,Assault (Hurt),12-02-2022,410/1 Sim Vaddo Arpora,Arpora,5,"(15.5554, 73.7522)",Low,House
168,Anjuna_Ps,2022,Assault (Hurt),16-03-2022,Thalasa Rest Vaddi Siolim,Siolim,3,"(15.6280, 73.7788)",High,Other (Restaurant)
169,Anjuna_Ps,2022,Assault (Hurt),30-03-2022,Malbar Band Anjuna,Anjuna,1,"(15.5912, 73.7451)",Medium,Other (General Location)
170,Anjuna_Ps,2022,Assault (Hurt),20-04-2022,Marna Siolim,Siolim,4,"(15.6275, 73.7789)",Medium,House
171,Anjuna_Ps,2022,Assault (Hurt),01-05-2022,Siolim Bridge Siolim,Siolim,4,"(15.6285, 73.7790)",High,Other (Bridge)
172,Anjuna_Ps,2022,Assault (Hurt),24-05-2022,Near Darling Bar Chapora,Chapora,1,"(15.5909, 73.7650)",High,Other (Bar)
173,Anjuna_Ps,2022,Assault (Hurt),28-06-2022,River Bank Siolim,Siolim,5,"(15.6290, 73.7791)",Medium,Other (River Bank)
174,Anjuna_Ps,2022,Assault (Hurt),05-07-2022,Near DMC Assagao,Assagao,5,"(15.5915, 73.7655)",Low,House
175,Anjuna_Ps,2022,Assault (Hurt),29-07-2022,7/4 Fuldem Wado Nagoa,Nagoa,4,"(15.5920, 73.7656)",Low,House
176,Anjuna_Ps,2022,Assault (Hurt),30-07-2022,Near St Anthony Chapel Anjuna,Anjuna,5,"(15.5918, 73.7452)",Medium,Other (Religious Place)
177,Anjuna_Ps,2022,Assault (Hurt),24-08-2022,Near Dream Circle Nagoa,Nagoa,2,"(15.5923, 73.7657)",Medium,Other (General Location)
178,Anjuna_Ps,2022,Assault (Hurt),31-08-2022,Badem Assagao,Assagao,2,"(15.5919, 73.7658)",Low,House
179,Anjuna_Ps,2022,Assault (Hurt),12-09-2022,Near W Resort Chapora,Chapora,2,"(15.5910, 73.7659)",High,Other (Resort)
180,Anjuna_Ps,2022,Assault (Hurt),11-11-2022,Amber Garden Siolim,Siolim,4,"(15.6295, 73.7792)",Medium,House
181,Anjuna_Ps,2022,Assault (Hurt),14-11-2022,Near Raeethi Night Club Vagator,Vagator,1,"(15.5942, 73.7454)",High,Other (Club)
